Date/time,Progress,Temperature,Humidity,Magx,Magy,Magz,Pitch,Roll,Yaw,Latitude,Longitude
2020-04-21 01:02:48.797435,101,33.778,31.6496,3.7247462272644043,-13.646993637084961,6.518125534057617,8.481880029257221,163.41946125156193,127.97729545966394,"[36.0, 18.0, 23.7]","[98.0, 23.0, 56.0]"
2020-04-21 01:03:01.577708,102,33.381,31.6496,3.9660520553588867,-13.505342483520508,6.203953266143799,345.08608557933854,288.78691775107296,103.28839508192644,"[36.0, 50.0, 19.3]","[97.0, 38.0, 47.4]"
2020-04-21 01:03:14.347153,103,33.3884,31.6306,4.159189701080322,-13.499213218688965,6.182299613952637,19.923675469305536,52.51099294286744,97.53167259281874,"[37.0, 21.0, 54.9]","[96.0, 52.0, 58.3]"
2020-04-21 01:03:27.167692,104,33.6444,31.6116,4.339906692504883,-13.443593978881836,6.311737537384033,3.6841054274487357,183.62595117610667,128.65862048975106,"[37.0, 53.0, 9.9]","[96.0, 6.0, 27.9]"
2020-04-21 01:03:39.956127,105,33.4737,31.5926,4.588489055633545,-13.392560958862305,5.885676383972168,349.67809689041894,309.6522850616265,97.32663714412412,"[38.0, 21.0, 41.7]","[95.0, 22.0, 54.6]"
2020-04-21 01:03:52.757656,106,33.407,31.6116,4.760126113891602,-13.456823348999023,5.5526275634765625,23.917370746829324,74.55779856472559,105.4268658393549,"[38.0, 52.0, 15.1]","[94.0, 35.0, 2.1]"
2020-04-21 01:04:05.575050,107,33.1844,31.5926,4.8304524421691895,-13.40963363647461,5.393889904022217,358.0831938540176,203.13108631345216,128.21101087268343,"[39.0, 22.0, 25.7]","[93.0, 46.0, 25.6]"
2020-04-21 01:04:18.359572,108,33.7075,31.5926,4.862444877624512,-13.424724578857422,5.4195075035095215,355.73059517200534,328.9991408102407,93.551427665318,"[39.0, 52.0, 12.9]","[92.0, 57.0, 4.4]"
2020-04-21 01:04:31.129271,109,33.8373,31.5926,4.839351654052734,-13.292411804199219,5.2910966873168945,25.586291612028795,95.97781821701918,112.14062077458644,"[40.0, 21.0, 35.9]","[92.0, 6.0, 57.4]"
2020-04-21 01:04:43.907135,110,33.3958,31.6496,5.1171135902404785,-12.995867729187012,4.940458297729492,353.20464522164116,222.00472948089495,125.07682830786133,"[40.0, 48.0, 21.1]","[91.0, 20.0, 0.5]"
2020-04-21 01:04:56.703628,111,33.5925,31.7065,5.494506359100342,-12.96188735961914,4.956728458404541,2.855579148577271,346.82566816659636,90.72362689609517,"[41.0, 16.0, 55.4]","[90.0, 28.0, 23.4]"
2020-04-21 01:05:09.508512,112,33.5665,31.5737,5.1102375984191895,-12.768932342529297,5.025851249694824,24.484797249864595,118.25491732712264,119.50485560561332,"[41.0, 45.0, 3.1]","[89.0, 35.0, 58.3]"
2020-04-21 01:05:22.338462,113,33.2437,31.6496,5.4217658042907715,-12.657136917114258,5.14035701751709,349.8104719329493,242.57699971378491,119.2582311350625,"[42.0, 12.0, 43.5]","[88.0, 42.0, 44.5]"
2020-04-21 01:05:35.123110,114,33.6741,31.5167,5.765434741973877,-12.501312255859375,4.985337734222412,10.053439962932748,6.558174751882878,90.46945506651149,"[42.0, 39.0, 55.7]","[87.0, 48.0, 41.3]"
2020-04-21 01:05:47.897047,115,33.7186,31.6116,6.066463470458984,-12.497063636779785,5.1274333000183105,21.040334558974457,139.66306611063874,124.64977756019546,"[43.0, 4.0, 36.6]","[86.0, 58.0, 3.2]"
2020-04-21 01:06:00.697320,116,33.8002,31.6306,6.190918922424316,-12.541351318359375,5.429333209991455,348.835435961947,262.55410775296747,111.84376026269018,"[43.0, 30.0, 52.1]","[86.0, 2.0, 23.2]"
2020-04-21 01:06:13.570531,117,33.8819,31.7634,6.303782939910889,-12.570806503295898,5.101546287536621,17.187320687785423,25.637193596818317,91.95049279556955,"[43.0, 56.0, 36.9]","[85.0, 5.0, 52.1]"
2020-04-21 01:06:26.313638,118,33.841,31.6685,6.443100452423096,-12.624582290649414,4.935843467712402,15.328945742935426,160.00891557254278,127.75564216071868,"[44.0, 21.0, 49.9]","[84.0, 8.0, 29.5]"
2020-04-21 01:06:39.077549,119,33.4663,31.5737,6.484298229217529,-12.64475154876709,4.821835994720459,349.8291285946672,282.8019849814168,105.04828211403942,"[44.0, 46.0, 30.4]","[83.0, 10.0, 14.9]"
2020-04-21 01:06:51.847501,120,33.6741,31.5547,6.399922847747803,-12.119112968444824,4.969080448150635,22.485010068438655,45.877161466208804,96.40200028523365,"[45.0, 8.0, 47.2]","[82.0, 15.0, 42.7]"
2020-04-21 01:07:04.651626,121,33.8225,31.4978,6.395759582519531,-12.391620635986328,5.28361701965332,8.604208717292149,179.14057596607196,130.6104836488656,"[45.0, 32.0, 22.2]","[81.0, 15.0, 47.3]"
2020-04-21 01:07:17.428611,122,33.6815,31.6116,6.558948040008545,-12.483847618103027,5.467247486114502,351.46145159874646,303.0341425294914,100.01461028065846,"[45.0, 55.0, 21.9]","[80.0, 14.0, 59.3]"
